1/9/2026	10:50 AM
Pseudo Cross Correlation
Scattering angle:	110.0
Duration (s):	20
Wavelength (nm):	632.8
Refractive index:	1.330
Viscosity (mPas):	0.774
Temperature (K):	304.6
Laser intensity (mW):	8.510453
Average Count rate  A (kHz):	76.2
Average Count rate  B (kHz):	77.1
Intercept:	0.8489
Cumulant 1st	100.49
Cumulant 2nd	105.43	26.08
Cumulant 3rd	107.70	39.99

Lag time (s)         g2-1
1.250000E-8	0.840016
2.500000E-8	0.801041
3.750000E-8	0.864632
5.000000E-8	0.839332
6.250000E-8	0.865999
7.500000E-8	0.904290
8.750000E-8	0.846170
1.000000E-7	0.847538
1.125000E-7	0.930957
1.250000E-7	0.842751
1.375000E-7	0.799674
1.500000E-7	0.844119
1.625000E-7	0.822922
1.750000E-7	0.831127
1.875000E-7	0.847538
2.000000E-7	0.838649
2.125000E-7	0.878307
2.250000E-7	0.790785
2.375000E-7	0.861897
2.500000E-7	0.858478
2.625000E-7	0.909760
2.750000E-7	0.795571
2.875000E-7	0.848221
3.000000E-7	0.837281
3.125000E-7	0.787366
3.250000E-7	0.817452
3.375000E-7	0.887880
3.500000E-7	0.919333
3.625000E-7	0.782580
3.750000E-7	0.856427
3.875000E-7	0.891299
4.000000E-7	0.890615
4.125000E-7	0.817452
4.250000E-7	0.831127
4.375000E-7	0.872153
4.500000E-7	0.834546
4.625000E-7	0.852324
4.750000E-7	0.848221
4.875000E-7	0.881726
5.000000E-7	0.823606
5.125000E-7	0.840700
5.250000E-7	0.873521
5.375000E-7	0.900188
5.500000E-7	0.868734
5.625000E-7	0.861897
5.750000E-7	0.820187
5.875000E-7	0.833179
6.000000E-7	0.773691
6.125000E-7	0.856427
6.250000E-7	0.870102
6.375000E-7	0.792836
6.500000E-7	0.822238
6.625000E-7	0.847538
6.750000E-7	0.857110
6.875000E-7	0.878307
7.000000E-7	0.827025
7.125000E-7	0.839332
7.250000E-7	0.786682
7.375000E-7	0.831127
7.500000E-7	0.859162
7.625000E-7	0.891299
7.750000E-7	0.857110
7.875000E-7	0.827708
8.000000E-7	0.908393
8.250000E-7	0.820187
8.500000E-7	0.852324
8.750000E-7	0.804460
9.000000E-7	0.847196
9.250000E-7	0.835230
9.500000E-7	0.843435
9.750000E-7	0.875914
1.000000E-6	0.836255
1.025000E-6	0.835914
1.050000E-6	0.825657
1.075000E-6	0.828734
1.100000E-6	0.875572
1.125000E-6	0.852666
1.150000E-6	0.878307
1.175000E-6	0.896769
1.200000E-6	0.825657
1.225000E-6	0.851640
1.250000E-6	0.875572
1.275000E-6	0.822580
1.300000E-6	0.830443
1.325000E-6	0.867709
1.350000E-6	0.836255
1.375000E-6	0.855401
1.400000E-6	0.871469
1.425000E-6	0.797623
1.450000E-6	0.851982
1.475000E-6	0.869076
1.500000E-6	0.848221
1.525000E-6	0.817110
1.550000E-6	0.854033
1.575000E-6	0.887880
1.600000E-6	0.873863
1.650000E-6	0.835401
1.700000E-6	0.854717
1.750000E-6	0.836085
1.800000E-6	0.867025
1.850000E-6	0.806170
1.900000E-6	0.834033
1.950000E-6	0.856256
2.000000E-6	0.811127
2.050000E-6	0.823777
2.100000E-6	0.884632
2.150000E-6	0.826854
2.200000E-6	0.854546
2.250000E-6	0.866512
2.300000E-6	0.846170
2.350000E-6	0.820016
2.400000E-6	0.806512
2.450000E-6	0.823435
2.500000E-6	0.830102
2.550000E-6	0.853350
2.600000E-6	0.824461
2.650000E-6	0.863435
2.700000E-6	0.855230
2.750000E-6	0.839674
2.800000E-6	0.857110
2.850000E-6	0.858649
2.900000E-6	0.839503
2.950000E-6	0.827708
3.000000E-6	0.840358
3.050000E-6	0.822751
3.100000E-6	0.814033
3.150000E-6	0.866854
3.200000E-6	0.856939
3.300000E-6	0.827196
3.400000E-6	0.837879
3.500000E-6	0.859760
3.600000E-6	0.834888
3.700000E-6	0.839589
3.800000E-6	0.854632
3.900000E-6	0.846683
4.000000E-6	0.829589
4.100000E-6	0.854974
4.200000E-6	0.823093
4.300000E-6	0.837196
4.400000E-6	0.839503
4.500000E-6	0.861726
4.600000E-6	0.821298
4.700000E-6	0.837110
4.800000E-6	0.850871
4.900000E-6	0.824888
5.000000E-6	0.827367
