1/9/2026	11:40 AM
Pseudo Cross Correlation
Scattering angle:	110.0
Duration (s):	20
Wavelength (nm):	632.8
Refractive index:	1.330
Viscosity (mPas):	0.741
Temperature (K):	306.6
Laser intensity (mW):	8.548871
Average Count rate  A (kHz):	85.5
Average Count rate  B (kHz):	86.1
Intercept:	0.8880
Cumulant 1st	65.99
Cumulant 2nd	65.08	8.45
Cumulant 3rd	64.68	12.20

Lag time (s)         g2-1
1.250000E-8	0.896773
2.500000E-8	0.911566
3.750000E-8	0.847463
5.000000E-8	0.880884
6.250000E-8	0.961971
7.500000E-8	0.931290
8.750000E-8	0.920880
1.000000E-7	0.878145
1.125000E-7	0.890746
1.250000E-7	0.917045
1.375000E-7	0.865544
1.500000E-7	0.848011
1.625000E-7	0.879789
1.750000E-7	0.806920
1.875000E-7	0.911018
2.000000E-7	0.897869
2.125000E-7	0.876501
2.250000E-7	0.908278
2.375000E-7	0.904991
2.500000E-7	0.906635
2.625000E-7	0.901704
2.750000E-7	0.905539
2.875000E-7	0.844724
3.000000E-7	0.914305
3.125000E-7	0.890746
3.250000E-7	0.854038
3.375000E-7	0.859517
3.500000E-7	0.863352
3.625000E-7	0.948274
3.750000E-7	0.923071
3.875000E-7	0.895677
4.000000E-7	0.874310
4.125000E-7	0.915401
4.250000E-7	0.866639
4.375000E-7	0.871022
4.500000E-7	0.853490
4.625000E-7	0.831575
4.750000E-7	0.914305
4.875000E-7	0.868831
5.000000E-7	0.861708
5.125000E-7	0.904443
5.250000E-7	0.849655
5.375000E-7	0.863352
5.500000E-7	0.889103
5.625000E-7	0.872666
5.750000E-7	0.900608
5.875000E-7	0.901156
6.000000E-7	0.952657
6.125000E-7	0.852394
6.250000E-7	0.846915
6.375000E-7	0.898417
6.500000E-7	0.888007
6.625000E-7	0.847463
6.750000E-7	0.876501
6.875000E-7	0.922523
7.000000E-7	0.868831
7.125000E-7	0.898964
7.250000E-7	0.844176
7.375000E-7	0.881432
7.500000E-7	0.896225
7.625000E-7	0.801989
7.750000E-7	0.975120
7.875000E-7	0.884172
8.000000E-7	0.854586
8.250000E-7	0.866913
8.500000E-7	0.911018
8.750000E-7	0.882802
9.000000E-7	0.877049
9.250000E-7	0.912662
9.500000E-7	0.931837
9.750000E-7	0.921154
1.000000E-6	0.881158
1.025000E-6	0.912935
1.050000E-6	0.867735
1.075000E-6	0.898691
1.100000E-6	0.871844
1.125000E-6	0.895129
1.150000E-6	0.907457
1.175000E-6	0.865270
1.200000E-6	0.823357
1.225000E-6	0.890746
1.250000E-6	0.894033
1.275000E-6	0.907183
1.300000E-6	0.881158
1.325000E-6	0.886637
1.350000E-6	0.874036
1.375000E-6	0.889103
1.400000E-6	0.893760
1.425000E-6	0.888555
1.450000E-6	0.916497
1.475000E-6	0.871844
1.500000E-6	0.894307
1.525000E-6	0.907731
1.550000E-6	0.905813
1.575000E-6	0.853216
1.600000E-6	0.867735
1.650000E-6	0.892116
1.700000E-6	0.910607
1.750000E-6	0.887459
1.800000E-6	0.882528
1.850000E-6	0.892527
1.900000E-6	0.858695
1.950000E-6	0.868283
2.000000E-6	0.887596
2.050000E-6	0.876227
2.100000E-6	0.882939
2.150000E-6	0.887185
2.200000E-6	0.865817
2.250000E-6	0.869379
2.300000E-6	0.885952
2.350000E-6	0.887596
2.400000E-6	0.858695
2.450000E-6	0.880336
2.500000E-6	0.853216
2.550000E-6	0.889513
2.600000E-6	0.878967
2.650000E-6	0.882117
2.700000E-6	0.945535
2.750000E-6	0.857051
2.800000E-6	0.867598
2.850000E-6	0.878556
2.900000E-6	0.872392
2.950000E-6	0.875816
3.000000E-6	0.876912
3.050000E-6	0.887596
3.100000E-6	0.891020
3.150000E-6	0.897321
3.200000E-6	0.899238
3.300000E-6	0.880816
3.400000E-6	0.881432
3.500000E-6	0.865064
3.600000E-6	0.866091
3.700000E-6	0.889856
3.800000E-6	0.866297
3.900000E-6	0.888418
4.000000E-6	0.877665
4.100000E-6	0.881432
4.200000E-6	0.874310
4.300000E-6	0.872050
4.400000E-6	0.860887
4.500000E-6	0.873625
4.600000E-6	0.883076
4.700000E-6	0.860407
4.800000E-6	0.868283
4.900000E-6	0.883761
5.000000E-6	0.853764
