1/9/2026	1:06 PM
Pseudo Cross Correlation
Scattering angle:	70.0
Duration (s):	20
Wavelength (nm):	632.8
Refractive index:	1.330
Viscosity (mPas):	0.712
Temperature (K):	308.7
Laser intensity (mW):	2.653338
Average Count rate  A (kHz):	489.4
Average Count rate  B (kHz):	516.8
Intercept:	0.9159
Cumulant 1st	135.78
Cumulant 2nd	134.57	14.17
Cumulant 3rd	133.67	24.04

Lag time (s)         g2-1
1.250000E-8	0.923790
2.500000E-8	0.922721
3.750000E-8	0.902850
5.000000E-8	0.907606
6.250000E-8	0.913240
7.500000E-8	0.916400
8.750000E-8	0.919481
1.000000E-7	0.929472
1.125000E-7	0.910128
1.250000E-7	0.911277
1.375000E-7	0.913895
1.500000E-7	0.919385
1.625000E-7	0.909027
1.750000E-7	0.914134
1.875000E-7	0.908165
2.000000E-7	0.916576
2.125000E-7	0.908181
2.250000E-7	0.922561
2.375000E-7	0.900456
2.500000E-7	0.923679
2.625000E-7	0.920215
2.750000E-7	0.920040
2.875000E-7	0.916209
3.000000E-7	0.917965
3.125000E-7	0.922322
3.250000E-7	0.906585
3.375000E-7	0.917725
3.500000E-7	0.916337
3.625000E-7	0.906760
3.750000E-7	0.909122
3.875000E-7	0.914022
4.000000E-7	0.921300
4.125000E-7	0.910655
4.250000E-7	0.911963
4.375000E-7	0.916129
4.500000E-7	0.925658
4.625000E-7	0.906984
4.750000E-7	0.920231
4.875000E-7	0.915267
5.000000E-7	0.916879
5.125000E-7	0.919162
5.250000E-7	0.910846
5.375000E-7	0.914741
5.500000E-7	0.913639
5.625000E-7	0.911453
5.750000E-7	0.918268
5.875000E-7	0.909059
6.000000E-7	0.905244
6.125000E-7	0.913192
6.250000E-7	0.916480
6.375000E-7	0.910415
6.500000E-7	0.914262
6.625000E-7	0.913815
6.750000E-7	0.918364
6.875000E-7	0.923599
7.000000E-7	0.911325
7.125000E-7	0.912985
7.250000E-7	0.919561
7.375000E-7	0.911022
7.500000E-7	0.910048
7.625000E-7	0.905324
7.750000E-7	0.924397
7.875000E-7	0.911277
8.000000E-7	0.912155
8.250000E-7	0.907925
8.500000E-7	0.915690
8.750000E-7	0.917486
9.000000E-7	0.911213
9.250000E-7	0.904869
9.500000E-7	0.914980
9.750000E-7	0.912091
1.000000E-6	0.908939
1.025000E-6	0.912945
1.050000E-6	0.917542
1.075000E-6	0.917470
1.100000E-6	0.915994
