1/9/2026	1:14 PM
Pseudo Cross Correlation
Scattering angle:	40.0
Duration (s):	20
Wavelength (nm):	632.8
Refractive index:	1.330
Viscosity (mPas):	0.712
Temperature (K):	308.6
Laser intensity (mW):	2.653294
Average Count rate  A (kHz):	75.5
Average Count rate  B (kHz):	75.0
Intercept:	0.8948
Cumulant 1st	315.08
Cumulant 2nd	133.23	60.37
Cumulant 3rd	89.08	48.69

Lag time (s)         g2-1
1.250000E-8	0.987037
2.500000E-8	0.858727
3.750000E-8	0.996253
5.000000E-8	0.935997
6.250000E-8	0.943086
7.500000E-8	0.931035
8.750000E-8	0.985620
1.000000E-7	0.973568
1.125000E-7	0.930326
1.250000E-7	1.010431
1.375000E-7	0.902679
1.500000E-7	1.022482
1.625000E-7	0.982075
1.750000E-7	0.928908
1.875000E-7	0.935288
2.000000E-7	0.955137
2.125000E-7	0.859436
2.250000E-7	0.950884
2.375000E-7	0.987746
2.500000E-7	0.950175
2.625000E-7	0.982784
2.750000E-7	0.892045
2.875000E-7	0.917566
3.000000E-7	0.972860
3.125000E-7	0.937415
3.250000E-7	0.939541
3.375000E-7	0.907641
3.500000E-7	0.975695
3.625000E-7	0.916148
3.750000E-7	0.882121
3.875000E-7	0.977113
4.000000E-7	0.950175
4.125000E-7	0.992000
4.250000E-7	0.938124
4.375000E-7	0.903388
4.500000E-7	0.987037
4.625000E-7	0.934579
4.750000E-7	0.985620
4.875000E-7	0.942377
5.000000E-7	0.947339
5.125000E-7	0.898425
5.250000E-7	0.935288
5.375000E-7	0.887083
5.500000E-7	1.008304
5.625000E-7	0.982784
5.750000E-7	0.911186
5.875000E-7	0.992709
6.000000E-7	0.965062
6.125000E-7	0.937415
6.250000E-7	0.948757
6.375000E-7	0.962935
6.500000E-7	0.948048
6.625000E-7	1.019647
6.750000E-7	0.991291
6.875000E-7	0.970024
7.000000E-7	0.994835
7.125000E-7	0.906932
7.250000E-7	0.931035
7.375000E-7	0.961517
7.500000E-7	0.939541
7.625000E-7	0.897716
7.750000E-7	0.906932
7.875000E-7	0.954428
8.000000E-7	1.009722
8.250000E-7	0.990936
8.500000E-7	0.995899
8.750000E-7	0.935288
9.000000E-7	0.957973
9.250000E-7	0.922882
9.500000E-7	0.972860
9.750000E-7	0.994126
1.000000E-6	0.956909
1.025000E-6	0.950884
1.050000E-6	0.975695
1.075000E-6	0.961517
1.100000E-6	0.957264
1.125000E-6	0.945921
1.150000E-6	0.912249
1.175000E-6	0.925718
1.200000E-6	0.959745
1.225000E-6	0.943086
1.250000E-6	0.958682
1.275000E-6	0.929971
1.300000E-6	0.951947
1.325000E-6	0.925009
1.350000E-6	0.957618
1.375000E-6	0.926427
1.400000E-6	0.915439
1.425000E-6	0.936706
1.450000E-6	0.968606
1.475000E-6	0.962935
1.500000E-6	0.977113
1.525000E-6	0.990228
1.550000E-6	0.982075
1.575000E-6	0.938832
1.600000E-6	0.955492
1.650000E-6	0.947339
1.700000E-6	0.921642
1.750000E-6	0.956732
1.800000E-6	0.951770
1.850000E-6	0.929262
1.900000E-6	0.952124
1.950000E-6	0.960099
2.000000E-6	0.972328
2.050000E-6	0.971973
2.100000E-6	0.945567
2.150000E-6	0.960631
2.200000E-6	0.948934
2.250000E-6	0.957087
2.300000E-6	0.976758
2.350000E-6	0.933161
2.400000E-6	0.966302
2.450000E-6	0.956555
2.500000E-6	0.949643
2.550000E-6	0.967011
2.600000E-6	0.972505
2.650000E-6	0.945921
2.700000E-6	0.955669
2.750000E-6	0.995544
2.800000E-6	0.915793
2.850000E-6	0.947517
2.900000E-6	0.959745
2.950000E-6	0.968075
3.000000E-6	0.941491
3.050000E-6	0.984025
3.100000E-6	0.934934
3.150000E-6	0.989873
3.200000E-6	0.943263
3.300000E-6	0.954783
3.400000E-6	0.947339
3.500000E-6	0.945478
3.600000E-6	0.955137
3.700000E-6	0.961960
3.800000E-6	0.970910
3.900000E-6	0.953897
4.000000E-6	0.949023
4.100000E-6	0.941579
4.200000E-6	0.981366
4.300000E-6	0.947960
4.400000E-6	0.962669
4.500000E-6	0.951061
4.600000E-6	0.977822
4.700000E-6	0.946808
4.800000E-6	0.951327
4.900000E-6	0.957087
5.000000E-6	0.972416
5.100000E-6	0.930857
5.200000E-6	0.970821
5.300000E-6	0.960720
5.400000E-6	0.959302
5.500000E-6	0.924034
5.600000E-6	0.941225
5.700000E-6	0.953365
5.800000E-6	0.954694
5.900000E-6	0.957618
6.000000E-6	0.976936
6.100000E-6	0.962581
6.200000E-6	0.935377
6.300000E-6	0.955049
6.400000E-6	0.951238
6.600000E-6	0.952080
6.800000E-6	0.948447
7.000000E-6	0.963644
7.200000E-6	0.963821
7.400000E-6	0.956068
7.600000E-6	0.960099
7.800000E-6	0.969492
8.000000E-6	0.947029
8.200000E-6	0.954916
8.400000E-6	0.957352
8.600000E-6	0.950219
8.800000E-6	0.938655
9.000000E-6	0.954162
9.200000E-6	0.956200
9.400000E-6	0.951947
9.600000E-6	0.958017
9.800000E-6	0.941535
1.000000E-5	0.950574
1.020000E-5	0.936396
1.040000E-5	0.953542
1.060000E-5	0.945390
1.080000E-5	0.929528
1.100000E-5	0.956821
1.120000E-5	0.947517
1.140000E-5	0.933737
1.160000E-5	0.938965
1.180000E-5	0.931522
1.200000E-5	0.953321
1.220000E-5	0.948403
1.240000E-5	0.944415
1.260000E-5	0.951371
1.280000E-5	0.933915
1.320000E-5	0.938168
1.360000E-5	0.948004
1.400000E-5	0.949067
1.440000E-5	0.946896
1.480000E-5	0.951836
1.520000E-5	0.949754
1.560000E-5	0.941136
1.600000E-5	0.947539
1.640000E-5	0.939962
1.680000E-5	0.942266
1.720000E-5	0.954162
1.760000E-5	0.941026
1.800000E-5	0.946564
1.840000E-5	0.941380
1.880000E-5	0.954074
1.920000E-5	0.956311
1.960000E-5	0.943108
2.000000E-5	0.944171
2.040000E-5	0.942532
2.080000E-5	0.942842
2.120000E-5	0.950839
2.160000E-5	0.951526
2.200000E-5	0.949776
2.240000E-5	0.943152
2.280000E-5	0.937282
2.320000E-5	0.941114
2.360000E-5	0.944836
2.400000E-5	0.941712
2.440000E-5	0.947162
2.480000E-5	0.945190
2.520000E-5	0.945235
2.560000E-5	0.948979
2.640000E-5	0.934313
2.720000E-5	0.940206
2.800000E-5	0.939929
2.880000E-5	0.935919
2.960000E-5	0.941591
3.040000E-5	0.939353
3.120000E-5	0.931588
3.200000E-5	0.941413
3.280000E-5	0.922351
3.360000E-5	0.932187
3.440000E-5	0.935831
3.520000E-5	0.943961
3.600000E-5	0.938799
3.680000E-5	0.927712
3.760000E-5	0.941967
3.840000E-5	0.935377
3.920000E-5	0.935764
4.000000E-5	0.920490
4.080000E-5	0.935166
4.160000E-5	0.931223
4.240000E-5	0.934878
4.320000E-5	0.930957
4.400000E-5	0.927822
4.480000E-5	0.918862
4.560000E-5	0.936639
4.640000E-5	0.924854
4.720000E-5	0.926859
4.800000E-5	0.927291
4.880000E-5	0.930337
4.960000E-5	0.922738
5.040000E-5	0.924411
5.120000E-5	0.928432
5.280000E-5	0.927153
5.440000E-5	0.922583
5.600000E-5	0.925297
5.760000E-5	0.918922
5.920000E-5	0.918118
6.080000E-5	0.919359
6.240000E-5	0.912461
6.400000E-5	0.920420
6.560000E-5	0.916559
6.720000E-5	0.915313
6.880000E-5	0.912206
7.040000E-5	0.914360
7.200000E-5	0.918410
7.360000E-5	0.915225
7.520000E-5	0.909458
7.680000E-5	0.908279
7.840000E-5	0.906083
8.000000E-5	0.907889
8.160000E-5	0.905657
8.320000E-5	0.904233
8.480000E-5	0.907834
8.640000E-5	0.909235
8.800000E-5	0.906664
8.960000E-5	0.904642
9.120000E-5	0.896715
9.280000E-5	0.900061
9.440000E-5	0.899513
9.600000E-5	0.899982
9.760000E-5	0.897623
9.920000E-5	0.897749
0.000101	0.893173
0.000102	0.894220
0.000106	0.891618
0.000109	0.894853
0.000112	0.889580
0.000115	0.889783
0.000118	0.890838
0.000122	0.885156
0.000125	0.885137
0.000128	0.881598
0.000131	0.873557
0.000134	0.875848
0.000138	0.874662
0.000141	0.876717
0.000144	0.873637
0.000147	0.867576
0.000150	0.872148
0.000154	0.868649
0.000157	0.864012
0.000160	0.859513
0.000163	0.861980
0.000166	0.855429
0.000170	0.856726
0.000173	0.855688
0.000176	0.853788
0.000179	0.848728
0.000182	0.852308
0.000186	0.849048
